atf_snf.info fname:/home/avorovich/arnd/temp/x2tmp/x2gw_8850.pcap  comment:"using input pcap file"
atf_snf.info sll2:Y
atf_snf.info fname:/home/avorovich/arnd/temp/x2tmp  comment:"using experiment directory extracted from pcap file name"
atf_snf.info tcp_pair_dir:/home/avorovich/arnd/temp/x2tmp/tcp_pairs
atf_snf.info  fname:/home/avorovich/arnd/temp/x2tmp/x2gw_8850.pcap  comment:"PcapFileProcess start"
In_Seqmsg latency  seq_x2traf:21  "x2write->snf_read":488871:59:37.569578  "snf_write->snf_read":00:00:00.000495
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569083  "ts_snf_read ":2025-10-08T11:59:37.56959
In_Seqmsg latency  seq_x2traf:22  "x2write->snf_read":488871:59:37.56959  "snf_write->snf_read":00:00:00.000507
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569083  "ts_snf_read ":2025-10-08T11:59:37.569606
In_Seqmsg latency  seq_x2traf:23  "x2write->snf_read":488871:59:37.569606  "snf_write->snf_read":00:00:00.000523
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569083  "ts_snf_read ":2025-10-08T11:59:37.569619
In_Seqmsg latency  seq_x2traf:24  "x2write->snf_read":488871:59:37.569619  "snf_write->snf_read":00:00:00.000536
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.5691  "ts_snf_read ":2025-10-08T11:59:37.569636
In_Seqmsg latency  seq_x2traf:25  "x2write->snf_read":488871:59:37.569636  "snf_write->snf_read":00:00:00.000536
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.5691  "ts_snf_read ":2025-10-08T11:59:37.569648
In_Seqmsg latency  seq_x2traf:26  "x2write->snf_read":488871:59:37.569648  "snf_write->snf_read":00:00:00.000548
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.5691  "ts_snf_read ":2025-10-08T11:59:37.569664
In_Seqmsg latency  seq_x2traf:27  "x2write->snf_read":488871:59:37.569664  "snf_write->snf_read":00:00:00.000564
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.5691  "ts_snf_read ":2025-10-08T11:59:37.569677
In_Seqmsg latency  seq_x2traf:28  "x2write->snf_read":488871:59:37.569677  "snf_write->snf_read":00:00:00.000577
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.5691  "ts_snf_read ":2025-10-08T11:59:37.569693
In_Seqmsg latency  seq_x2traf:29  "x2write->snf_read":488871:59:37.569693  "snf_write->snf_read":00:00:00.000593
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.5691  "ts_snf_read ":2025-10-08T11:59:37.569707
In_Seqmsg latency  seq_x2traf:30  "x2write->snf_read":488871:59:37.569707  "snf_write->snf_read":00:00:00.000607
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.5691  "ts_snf_read ":2025-10-08T11:59:37.569723
In_Seqmsg latency  seq_x2traf:31  "x2write->snf_read":488871:59:37.569723  "snf_write->snf_read":00:00:00.000623
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.5691  "ts_snf_read ":2025-10-08T11:59:37.569735
In_Seqmsg latency  seq_x2traf:32  "x2write->snf_read":488871:59:37.569735  "snf_write->snf_read":00:00:00.000635
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.5691  "ts_snf_read ":2025-10-08T11:59:37.569753
In_Seqmsg latency  seq_x2traf:33  "x2write->snf_read":488871:59:37.569753  "snf_write->snf_read":00:00:00.000653
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.5691  "ts_snf_read ":2025-10-08T11:59:37.569771
In_Seqmsg latency  seq_x2traf:34  "x2write->snf_read":488871:59:37.569771  "snf_write->snf_read":00:00:00.000671
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.5691  "ts_snf_read ":2025-10-08T11:59:37.569789
In_Seqmsg latency  seq_x2traf:35  "x2write->snf_read":488871:59:37.569789  "snf_write->snf_read":00:00:00.000689
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.5691  "ts_snf_read ":2025-10-08T11:59:37.569801
In_Seqmsg latency  seq_x2traf:36  "x2write->snf_read":488871:59:37.569801  "snf_write->snf_read":00:00:00.000701
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569111  "ts_snf_read ":2025-10-08T11:59:37.569818
In_Seqmsg latency  seq_x2traf:37  "x2write->snf_read":488871:59:37.569818  "snf_write->snf_read":00:00:00.000707
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569111  "ts_snf_read ":2025-10-08T11:59:37.56983
In_Seqmsg latency  seq_x2traf:38  "x2write->snf_read":488871:59:37.56983  "snf_write->snf_read":00:00:00.000719
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569111  "ts_snf_read ":2025-10-08T11:59:37.569849
In_Seqmsg latency  seq_x2traf:39  "x2write->snf_read":488871:59:37.569849  "snf_write->snf_read":00:00:00.000738
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569111  "ts_snf_read ":2025-10-08T11:59:37.569861
