logging standalone files in cap_dir:/home/avorovich/pcap/cap
====--PcapFileProcess  fname:/home/avorovich/pcap/o1_missed_produce.pcap

FrameParseHeaders MAC  iframe:43  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:02  ether_type_hex:" 00 08"  pkt_len:74

FrameParseHeaders MAC  iframe:44  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:74

FrameParseHeaders MAC  iframe:45  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:02  ether_type_hex:" 00 08"  pkt_len:66

FrameParseHeaders MAC  iframe:46  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:02  ether_type_hex:" 00 08"  pkt_len:110

FrameParseHeaders MAC  iframe:47  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:66

FrameParseHeaders MAC  iframe:48  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:569

FrameParseHeaders MAC  iframe:49  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:02  ether_type_hex:" 00 08"  pkt_len:66

FrameParseHeaders MAC  iframe:50  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:02  ether_type_hex:" 00 08"  pkt_len:102

FrameParseHeaders MAC  iframe:51  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:203

FrameParseHeaders MAC  iframe:52  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:02  ether_type_hex:" 00 08"  pkt_len:110

FrameParseHeaders MAC  iframe:53  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:03  ether_type_hex:" 00 08"  pkt_len:66

FrameParseHeaders MAC  iframe:54  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:02  ether_type_hex:" 00 08"  pkt_len:66

FrameParseHeaders MAC  iframe:55  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514

FrameParseHeaders MAC  iframe:56  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514

FrameParseHeaders MAC  iframe:57  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514

FrameParseHeaders MAC  iframe:58  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514

FrameParseHeaders MAC  iframe:59  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514

FrameParseHeaders MAC  iframe:60  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514

FrameParseHeaders MAC  iframe:61  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514

FrameParseHeaders MAC  iframe:62  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514

FrameParseHeaders MAC  iframe:63  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514

FrameParseHeaders MAC  iframe:64  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514

FrameParseHeaders MAC  iframe:65  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514

FrameParseHeaders MAC  iframe:66  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514

FrameParseHeaders MAC  iframe:67  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:02  ether_type_hex:" 00 08"  pkt_len:66

FrameParseHeaders MAC  iframe:68  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514

FrameParseHeaders MAC  iframe:69  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514

FrameParseHeaders MAC  iframe:70  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514

FrameParseHeaders MAC  iframe:71  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514

FrameParseHeaders MAC  iframe:72  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514

