COMMAND       PID            USER   FD   TYPE  DEVICE SIZE/OFF NODE NAME
redpanda  3077523            1082  449u  IPv4 3583864      0t0  TCP 192.168.210.51:1092->192.168.210.21:63743 (ESTABLISHED)
redpanda  3077523            1082  450u  IPv4 3583866      0t0  TCP 192.168.210.51:1092->192.168.210.21:57372 (ESTABLISHED)
redpanda  3077523            1082  451u  IPv4 3583868      0t0  TCP 192.168.210.51:1092->192.168.210.21:49959 (ESTABLISHED)
redpanda  3077523            1082  452u  IPv4 3583870      0t0  TCP 192.168.210.51:1092->192.168.210.41:59565 (ESTABLISHED)
redpanda  3077523            1082  453u  IPv4 3583872      0t0  TCP 192.168.210.51:1092->192.168.210.21:60831 (ESTABLISHED)
redpanda  3077523            1082  454u  IPv4 3583874      0t0  TCP 192.168.210.51:1092->192.168.210.41:52214 (ESTABLISHED)
redpanda  3077523            1082  455u  IPv4 3583876      0t0  TCP 192.168.210.51:1092->192.168.210.41:54043 (ESTABLISHED)
redpanda  3077523            1082  456u  IPv4 3583878      0t0  TCP 192.168.210.51:1092->192.168.210.41:49414 (ESTABLISHED)
redpanda  3077523            1082  457u  IPv4 3583880      0t0  TCP 192.168.210.51:1092->192.168.210.21:56007 (ESTABLISHED)
redpanda  3077523            1082  458u  IPv4 3583882      0t0  TCP 192.168.210.51:1092->192.168.210.21:50139 (ESTABLISHED)
redpanda  3077523            1082  459u  IPv4 3583884      0t0  TCP 192.168.210.51:1092->192.168.210.21:55694 (ESTABLISHED)
redpanda  3077523            1082  461u  IPv4 3583886      0t0  TCP 192.168.210.51:1092->192.168.210.41:57212 (ESTABLISHED)
redpanda  3077523            1082  462u  IPv4 3583888      0t0  TCP 192.168.210.51:1092->192.168.210.31:53150 (ESTABLISHED)
redpanda  3077523            1082  463u  IPv4 3583890      0t0  TCP 192.168.210.51:1092->192.168.210.41:64938 (ESTABLISHED)
redpanda  3077523            1082  464u  IPv4 3583892      0t0  TCP 192.168.210.51:1092->192.168.210.41:65284 (ESTABLISHED)
redpanda  3077523            1082  465u  IPv4 3583894      0t0  TCP 192.168.210.51:1092->192.168.210.31:50971 (ESTABLISHED)
redpanda  3077523            1082  466u  IPv4 3583896      0t0  TCP 192.168.210.51:1092->192.168.210.31:51697 (ESTABLISHED)
redpanda  3077523            1082  467u  IPv4 3583898      0t0  TCP 192.168.210.51:1092->192.168.210.31:59689 (ESTABLISHED)
redpanda  3077523            1082  468u  IPv4 3583900      0t0  TCP 192.168.210.51:1092->192.168.210.31:53374 (ESTABLISHED)
redpanda  3077523            1082  469u  IPv4 3583902      0t0  TCP 192.168.210.51:1092->192.168.210.21:49914 (ESTABLISHED)
redpanda  3077523            1082  472u  IPv4 3685440      0t0  TCP 192.168.210.51:1092->192.168.210.41:49657 (ESTABLISHED)
redpanda  3077523            1082  482u  IPv4 3685438      0t0  TCP 192.168.210.51:1092->192.168.210.31:56249 (ESTABLISHED)
redpanda  3077523            1082  498u  IPv4 3586967      0t0  TCP 192.168.110.51:1096->192.168.110.11:44004 (ESTABLISHED)
redpanda  3077523            1082  505u  IPv4 3583905      0t0  TCP 192.168.210.51:1092->192.168.210.31:49567 (ESTABLISHED)
redpanda  3077523            1082  506u  IPv4 3685442      0t0  TCP 192.168.210.51:1092->192.168.210.41:65090 (ESTABLISHED)
redpanda  3077523            1082  508u  IPv4 3685444      0t0  TCP 192.168.210.51:1092->192.168.210.41:56400 (ESTABLISHED)
redpanda  3077523            1082  511u  IPv4 3685446      0t0  TCP 192.168.210.51:1092->192.168.210.31:50842 (ESTABLISHED)
redpanda  3077523            1082  514u  IPv4 3685450      0t0  TCP 192.168.210.51:1092->192.168.210.21:58021 (ESTABLISHED)
redpanda  3077523            1082  515u  IPv4 3685452      0t0  TCP 192.168.210.51:1092->192.168.210.31:62161 (ESTABLISHED)
redpanda  3077523            1082  516u  IPv4 3685448      0t0  TCP 192.168.210.51:1092->192.168.210.21:59678 (ESTABLISHED)
redpanda  3077523            1082  517u  IPv4 3685454      0t0  TCP 192.168.210.51:1092->192.168.210.31:64469 (ESTABLISHED)
redpanda  3077523            1082  518u  IPv4 3685456      0t0  TCP 192.168.210.51:1092->192.168.210.31:50301 (ESTABLISHED)
